Date,Value
2017-12-31,1903.0
2017-11-30,1912.0
2017-10-31,1937.0
2017-09-30,1954.0
2017-08-31,1949.0
2017-07-31,1919.0
2017-06-30,1886.0
2017-05-31,1862.0
2017-04-30,1870.0
2017-03-31,1884.0
2017-02-28,1895.0
2017-01-31,1887.0
2016-12-31,1881.0
2016-11-30,1883.0
2016-10-31,1907.0
2016-09-30,1960.0
2016-08-31,2012.0
2016-07-31,2052.0
2016-06-30,2063.0
2016-05-31,2076.0
2016-04-30,2096.0
2016-03-31,2126.0
2016-02-29,2138.0
2016-01-31,2147.0
2015-12-31,2136.0
2015-11-30,2125.0
2015-10-31,2105.0
2015-09-30,2097.0
2015-08-31,2120.0
2015-07-31,2150.0
2015-06-30,2181.0
2015-05-31,2184.0
2015-04-30,2176.0
2015-03-31,2158.0
2015-02-28,2146.0
2015-01-31,2139.0
2014-12-31,2138.0
2014-11-30,2110.0
2014-10-31,2060.0
2014-09-30,2015.0
2014-08-31,1989.0
2014-07-31,1991.0
2014-06-30,1996.0
2014-05-31,1992.0
2014-04-30,1948.0
2014-03-31,1906.0
2014-02-28,1882.0
2014-01-31,1900.0
2013-12-31,1949.0
2013-11-30,1994.0
2013-10-31,2035.0
2013-09-30,2043.0
2013-08-31,2019.0
2013-07-31,1968.0
2013-06-30,1921.0
2013-05-31,1905.0
2013-04-30,1910.0
2013-03-31,1912.0
2013-02-28,1899.0
2013-01-31,1868.0
2012-12-31,1842.0
2012-11-30,1810.0
2012-10-31,1796.0
2012-09-30,1788.0
2012-08-31,1792.0
2012-07-31,1806.0
2012-06-30,1819.0
2012-05-31,1823.0
2012-04-30,1815.0
2012-03-31,1804.0
2012-02-29,1803.0
2012-01-31,1799.0
2011-12-31,1800.0
